"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TOP3A",4.2275,7.235,8.64061577201714,4.16951720027853e-07,0.00362469162750441,6.41840298317784
"AGTPBP1",-7.46375,9.920625,-8.46865281875854,5.33598684869476e-07,0.00362469162750441,6.21118046258438
"ELAC2",10.06625,23.384375,8.3872490465667,6.00412726106412e-07,0.00362469162750441,6.11160952521613
"TRPC1",-2.87,5.45,-7.97984018515143,1.09657407622879e-06,0.00496501327364492,5.59870356838868
"SPDYE3",1.99875,3.403125,7.65286710533101,1.80463272737702e-06,0.00653674066510504,5.16902699108683
"MRPL10",5.94375,21.421875,7.39743648662518,2.68844731205003e-06,0.008115078211423,4.82186556721901
"METTL2A",5.15,9.31125,7.23975360966442,3.45304987269235e-06,0.00893402660633301,4.60242357874045
"FTSJ3",7.18875,16.638125,7.14380862051567,4.02753383765253e-06,0.00894733055345046,4.4669608738584
"VARS",13.72,25.4225,7.08254478405119,4.44624675506897e-06,0.00894733055345046,4.37969127943506
"NOL10",4.99875,12.075625,6.92551515913151,5.74231622169298e-06,0.0103999089091082,4.15323934876528
"DHX16",3.50874999999999,14.068125,6.7865471641338,7.22112493159051e-06,0.0109733237154258,3.94949690779563
"C1orf35",5.34999999999999,12.66125,6.78242105581447,7.27071307962615e-06,0.0109733237154258,3.9433994754472
"DAP3",13.1425,42.9525,6.57165844378519,1.03451028321162e-05,0.0120485088842036,3.6282369556944
"COPS3",14.19875,34.778125,6.56493779291188,1.04631387593087e-05,0.0120485088842036,3.61806750015544
"CCDC137",8.03125,16.614375,6.55999838133928,1.05507899279962e-05,0.0120485088842036,3.61058862704176
"GTF3C2",6.4375,17.3675,6.49745038173879,1.17297532964806e-05,0.0120485088842036,3.51553671945725
"MTA2",13.25375,37.799375,6.4137656831866,1.3527080314094e-05,0.0120485088842036,3.3873587788843
"SCO1",4.5925,10.2125,6.40541396357977,1.37216448842408e-05,0.0120485088842036,3.37450346563869
"UBB",257.16875,724.051875,6.3915396753323,1.40513693477763e-05,0.0120485088842036,3.35312223776164
"COA7",2.93625,4.751875,6.3632472872975,1.47497111899524e-05,0.0120485088842036,3.30942366655273
"ZNF142",2.11375,5.363125,6.35477062850132,1.49659427025699e-05,0.0120485088842036,3.29630555441532
"DAAM1",-1.6725,3.64125,-6.35455059351071,1.49715995733609e-05,0.0120485088842036,3.29596488044948
"DUS1L",11.87375,27.739375,6.3351433504714,1.54794507791916e-05,0.0120485088842036,3.26588588532477
"MRPL38",11.54375,35.064375,6.29149762388666,1.66885730662547e-05,0.0120485088842036,3.19801385916314
"MSTO1",10.23875,21.708125,6.26366503053692,1.7510891771066e-05,0.0120485088842036,3.15456885611526
"ELP5",7.5125,23.21625,6.25525968612652,1.77674795058646e-05,0.0120485088842036,3.1414236004602
"YRDC",6.51125,11.998125,6.22205484651786,1.88202091356111e-05,0.0120485088842036,3.08938055759948
"POLR1E",8.10625,12.054375,6.21200286064785,1.91516078642059e-05,0.0120485088842036,3.0735900542703
"TCEAL4",-15.32125,63.370625,-6.20778382796435,1.92925160202034e-05,0.0120485088842036,3.06695750238709
"NOL6",9.2675,14.515,6.14790354854503,2.14135658282667e-05,0.0127042623381659,2.9725075805701
"LSG1",7.25125,16.335625,6.11898171773811,2.25240143557621e-05,0.0127042623381659,2.92667831373849
"GPR3",2.17125,3.259375,6.10816261592394,2.29547370089411e-05,0.0127042623381659,2.90949925792499
"GRWD1",6.86,11.36375,6.10336706799196,2.31483991584934e-05,0.0127042623381659,2.90187854286832
"TPT1",-168.14125,355.459375,-5.98487386001614,2.85176425157442e-05,0.0151906771647836,2.71238456112964
"TMEM11",8.46374999999999,23.813125,5.93910197269462,3.09266905761452e-05,0.0158043969848487,2.63857341792014
"NUP62",14.8075,32.3825,5.92794221719719,3.15456521683285e-05,0.0158043969848487,2.62052570370255
"SNRPC",27.15875,63.123125,5.90148129602009,3.30655045997929e-05,0.0158043969848487,2.57765194632556
"VPS25",16.1225,47.80125,5.86562397512554,3.52479954137633e-05,0.0158043969848487,2.51937245456769
"ERFE",1.5925,1.76375,5.86347999925091,3.53831616478689e-05,0.0158043969848487,2.51588122311133
"ABCF1",13.30375,27.664375,5.85817557822345,3.5719905923958e-05,0.0158043969848487,2.50724035686254
"C4orf3",-29.15125,44.828125,-5.85541736657727,3.58963268751158e-05,0.0158043969848487,2.50274545140934
"MLX",8.545,30.815,5.84377743015939,3.66509123385592e-05,0.0158043969848487,2.48376295100952
"POLD3",5.7725,9.92375,5.80798803072365,3.90764177690997e-05,0.01614726620711,2.42526036569274
"BYSL",5.83375,8.166875,5.8058120578777,3.9229181884647e-05,0.01614726620711,2.42169678879937
"GPN1",9.4975,26.13125,5.75605208779169,4.28979031413131e-05,0.0169306269422561,2.3399974452412
"SENP3",11.04125,28.523125,5.75470599738798,4.30019788716129e-05,0.0169306269422561,2.33778181921525
"COX4I1",-130.54375,297.053125,-5.66232348067244,5.08124719888498e-05,0.0191863412085368,2.18503079494965
"AP4B1",3.6275,8.62875,5.66191622359402,5.08500015465609e-05,0.0191863412085368,2.18435439955473
"TCEAL8",-13.47625,56.904375,-5.64913546115505,5.20425619780032e-05,0.019235568162931,2.16311401052546
"GINS1",3.44875,3.996875,5.63483130351871,5.34118747148404e-05,0.0193468492592095,2.13931115770952
"MRPS34",13.7425,46.90125,5.58323446659096,5.86709791830233e-05,0.0206217565148542,2.05318247828558
"FLAD1",6.82,15.59875,5.57823121315026,5.92088420723547e-05,0.0206217565148542,2.04480840153931
"PRR5L",-4.695,6.45,-5.56254223731229,6.09289681677193e-05,0.0207982499963551,2.01852382466668
"PSMC4",14.54,60.93375,5.55289576669543,6.20123405556388e-05,0.0207982499963551,2.00234338680282
"WDR46",8.11,17.48125,5.53445451497049,6.41395785654949e-05,0.0210481344152341,1.97137048839463
