"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MTMR12",4.82700481521739,9.47686661152174,6.58026433408836,4.29124722783106e-08,0.000505100068648115,7.98010789944671
"PDCD4",-6.54254949221739,9.86015722036957,-6.35340734772682,9.33232807140302e-08,0.000505100068648115,7.31086160321009
"VKORC1L1",4.93069089304348,12.1238584230435,6.33239954461944,1.00284593378183e-07,0.000505100068648115,7.24878095177211
"CAMK2D",11.11307661,15.1109959119565,6.20462214653053,1.5532079281115e-07,0.000586724294844119,6.87089642164312
"CD33",-10.1750963585217,8.92499762113044,-5.99433354687453,3.18856288038029e-07,0.000958257311540782,6.24830706289051
"LAMA4",18.1601591276957,14.0088140844565,5.94258503371772,3.80512499619106e-07,0.000958257311540782,6.09504960793597
"EBI3",-7.82046938565217,6.92035597613043,-5.65208195487673,1.02399716072155e-06,0.00214631483907746,5.23526938018271
"MRPL30",3.72145995478261,10.8864661886957,5.6214381429276,1.13636788303241e-06,0.00214631483907746,5.14469700853518
"PCDH7",5.97816104173913,5.64930058834783,5.49460903189798,1.74720577787677e-06,0.00293336436707977,4.77024981947285
"DDIT4",-179.756673263739,118.895341658565,-5.44572262968431,2.06157373355477e-06,0.00311503791140126,4.62613229961187
"FBXO32",-9.26197894482609,12.3647294829348,-5.40877034554596,2.33587245937331e-06,0.00320863935101189,4.51728909477858
"GUF1",3.6607567856087,8.82765423506522,5.29777855967792,3.39658997197781e-06,0.00378707344683144,4.19090769997188
"ARID3A",-4.14245311308696,6.13276652693478,-5.28606510508977,3.5332096064196e-06,0.00378707344683144,4.15651584799097
"HMGCR",4.97774289434782,11.9092690932609,5.28056166144713,3.59926420559406e-06,0.00378707344683144,4.14036092759329
"ABL2",4.8969132226087,9.72628102565217,5.26761595657012,3.75950375264538e-06,0.00378707344683144,4.10236940137407
"DONSON",4.49709573565217,12.8539734843478,4.98745139159587,9.60078307692779e-06,0.00906673951827368,3.28401092162346
"ZNF385A",-34.511998592087,32.2539252773913,-4.89324156989424,1.31265839185649e-05,0.0116672166476186,3.01078829838793
"SOCS5",4.04500659669565,8.62154443778261,4.84226655660521,1.55381596542658e-05,0.0127789822082012,2.86344072606023
"CD40",-4.47759367756522,4.94375686473913,-4.81265764262574,1.71340246420076e-05,0.0127789822082012,2.77802126492253
"ADM",-70.9989970578261,52.4268532384783,-4.77405511827431,1.94588803555554e-05,0.0127789822082012,2.66684883693979
"NRG2",3.25182702930435,5.85268007873913,4.75558144555389,2.06786460163232e-05,0.0127789822082012,2.61372561140114
"DOK4",-7.20588761217392,8.11756680004348,-4.75412528691071,2.07779284576895e-05,0.0127789822082012,2.60954048987935
"CASP2",7.1930370973913,13.5758690634783,4.75120183621051,2.0978669750409e-05,0.0127789822082012,2.60113924186538
"POLR2D",7.98109331752175,17.436846373413,4.74628893773368,2.1320321983792e-05,0.0127789822082012,2.5870238271768
"MGARP",-4.90447882943478,5.25061583623913,-4.74604916248386,2.13371357007409e-05,0.0127789822082012,2.58633501721619
"AGTPBP1",-4.56050252856522,9.10487768763043,-4.7368937665932,2.19889832834699e-05,0.0127789822082012,2.56004076583928
"HFE",-3.44151857117391,7.18916893371739,-4.69725251210124,2.50446305234504e-05,0.0136428962013859,2.44634543366478
"TRAF1",-5.89998197308696,6.56148534828261,-4.69438307852989,2.5281343060146e-05,0.0136428962013859,2.43812547944255
"CMIP",-22.6988717597826,23.0935906846304,-4.62545297489445,3.1676524314098e-05,0.0152570933599841,2.24107982354986
"ETNK1",2.46474709873913,8.17405230263043,4.61829441831664,3.24254101157217e-05,0.0152570933599841,2.22066306073696
"PHTF2",6.74328427043479,10.7741788334783,4.61783563508947,3.2473993321121e-05,0.0152570933599841,2.21935488322391
"SVIL",6.34497065673913,8.74878987958696,4.61213085732638,3.3084104160005e-05,0.0152570933599841,2.20309135501108
"CRABP2",-164.99286178613,107.508227282674,-4.60994127004021,3.33212495618447e-05,0.0152570933599841,2.1968506801694
"SPAG4",-16.3086085378261,13.3224798662174,-4.58726890791292,3.58769615948285e-05,0.0159441438146429,2.13228130640831
"ARG2",-5.46513795178261,9.67471060228261,-4.57255421208524,3.76375283980489e-05,0.0159968543995811,2.09042470813294
"SLC25A12",2.81253308273913,8.1100611395,4.56869634461763,3.81129555516162e-05,0.0159968543995811,2.07945741092599
"ZNF395",-33.5022810653913,29.1886103847826,-4.55114278154491,4.03515831671198e-05,0.0164787140987887,2.02959032004084
"USP13",3.16261336839131,7.79175328663043,4.52795855554129,4.35067715802752e-05,0.0170713173868652,1.96381612362591
"CH25H",-4.95550316969565,6.52526874597826,-4.52404785568753,4.40623016603404e-05,0.0170713173868652,1.95273146666538
"RAD1",2.38157873530434,8.241695929,4.49594677528268,4.82637222205644e-05,0.0182316210688182,1.87316759420371
"CFAP97",3.64477619565217,10.238898886087,4.47205651722313,5.21421570236864e-05,0.0188337280395769,1.8056481442567
"CA9",-194.910579774261,146.743116958304,-4.47082272094686,5.23505345904851e-05,0.0188337280395769,1.8021642419092
"PYCR1",12.405305044,17.1908762021304,4.40658581689179,6.4401902973685e-05,0.0220128528126955,1.6212072561509
"SLCO4A1",-9.59496926095653,13.759610030913,-4.40427622898808,6.48822915009234e-05,0.0220128528126955,1.61471711431181
"RFTN1",-10.0796077792174,12.4894454142609,-4.40061906184575,6.56501476640803e-05,0.0220128528126955,1.60444247731117
"SLC8B1",-5.329095938,8.58192835343478,-4.39422220210216,6.7014641256386e-05,0.0220128528126955,1.58647766225548
"GLI4",-9.33449772969565,10.9072488296739,-4.36696159004095,7.31468942538065e-05,0.0231849220080309,1.5100183181143
"SMURF2",4.06543612765217,9.94062208578261,4.36481827136408,7.36516384106872e-05,0.0231849220080309,1.50401368682402
"MPI",-12.9384791001739,18.914255972087,-4.35468364059186,7.60847622426202e-05,0.0231991487281621,1.47563460549104
"PDK3",-3.20784693191305,5.85039922795652,-4.35189657103341,7.67675338456722e-05,0.0231991487281621,1.46783420214277
"CENPO",3.77217682208696,8.69836737213043,4.33322545250286,8.14983702585662e-05,0.0241458896981752,1.41562235869664
"ANKRD37",-2.72156979952174,5.06749316980435,-4.3206565822511,8.48421148371316e-05,0.0246531606767127,1.38051888775596
"STIM2",3.35475811286957,6.767627288,4.29554209076346,9.19293168141216e-05,0.0260879463125642,1.31048465926915
"UBASH3B",4.50087709921739,6.0136454463913,4.29002571856442,9.35616998143983e-05,0.0260879463125642,1.29512117126957
"MEF2D",-2.92744306513044,10.346943471913,-4.2853764163538,9.49594339636685e-05,0.0260879463125642,1.28217802660565
"BHLHE41",-10.1101061377391,16.2986911501304,-4.26207396773843,0.000102277531944252,0.02723777569642,1.21738290975308
"LOXL1",-81.2768644604348,76.2060425536957,-4.26062578942546,0.000102750047299533,0.02723777569642,1.21336031646644
"SPRY2",20.6836174782609,23.117340653913,4.22865034593012,0.000113742279455539,0.0290630769282089,1.12467036691087
"TUFT1",-5.96483049104348,9.7230635196087,-4.21961897595218,0.000117049192335263,0.0290630769282089,1.09966497191399
"SULT1A1",-4.16427835308696,4.91743643758696,-4.2125868825592,0.000119688729915837,0.0290630769282089,1.08020886088123
"ICAM1",-35.0370169312609,22.0068098141522,-4.21051181854125,0.000120478634523802,0.0290630769282089,1.07446998248903
"C4orf46",3.64858662634782,7.5102120463913,4.20764211728107,0.000121579401420177,0.0290630769282089,1.06653517483058
"AMOTL1",4.17415650278261,6.57859072817391,4.20680812708436,0.000121901138181672,0.0290630769282089,1.06422954923297
"TRIM21",-6.19841294995653,11.2644993095435,-4.20073429660109,0.000124269439677016,0.0290630769282089,1.04744320607263
"CREB3L1",-60.3569559988696,55.0922669496956,-4.19882489895442,0.000125023163489979,0.0290630769282089,1.04216806482321
"ENC1",11.3782095487391,15.431143872587,4.19037369410754,0.000128413024018722,0.0291086775144129,1.01883061740799
"TMEM97",5.84091388304348,13.2413510593478,4.18875549583389,0.000129072229878601,0.0291086775144129,1.0143641053504
"EPS8L2",-7.3761045033913,6.4945576183913,-4.17700771594001,0.000133957689097338,0.029766186503835,0.981957891368825
"CHEK1",5.19845653478261,10.646839863913,4.16347108127973,0.000139810415412591,0.030253841491867,0.944660405293451
"DIAPH3",4.82855111326087,9.13175563302174,4.15686526638493,0.000142756127023644,0.030253841491867,0.92647635893361
"TNFSF9",-17.1377911012174,18.4162353503478,-4.15525561951223,0.00014348301088898,0.030253841491867,0.922047124189382
"ZFYVE1",-3.87005884665218,9.00204208897826,-4.15376081790772,0.00014416125661247,0.030253841491867,0.917934502728527
"DEDD2",-9.31431860639131,17.6324562998478,-4.13065364723627,0.000155051128312637,0.0317340297894921,0.854433585205973
"UGCG",-15.5781563313043,19.9967367304348,-4.12960411170014,0.000155564288906689,0.0317340297894921,0.851552647044252
"OTULIN",2.78277559643478,6.72847661073913,4.12564485073884,0.000157515038663925,0.0317340297894921,0.840687209346428
"SIGIRR",-5.72206110973913,6.73362012973913,-4.11761500474792,0.000161544685658756,0.0317712087166325,0.81866345991995
"VIPAS39",-6.26948870052174,11.7554845880435,-4.11690671207837,0.000161904902129762,0.0317712087166325,0.816721614590655
